,Unnamed: 0,file,smiles
340,2938,10021678,C1(=C(C(=NC(=C1[H])C(=C([H])[H])[H])[H])C(=C([H])[H])[H])[H]
342,2959,20200216,O(N=O)C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H]
346,2990,20208410,ClP1(OC(C(O1)(C([H])([H])[H])[H])(C([H])([H])[H])[H])=O
347,2997,20062572,C1(=C(C(=C(C2=C1C(=C(C(=C2[H])[H])C(C([H])([H])[H])([H])[H])[H])[H])[H])[H])[H]
349,3009,10009707,C1(=C(C(=C(C(=C1OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C(O[H])([H])[H])[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])OC(C(C([H])([H])[H])([H])[H])([H])[H]
350,3026,10022735,C(C(OC1=C(C2=C(C(=C1OC(C([H])([H])[H])([H])[H])[H])C=3C(C(C(C(C3C=4C(C(C42)=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H]
358,3090,20209766,BrC1=C(OC([H])([H])[H])C(=C(C([N+]([O-])=O)=C1[H])[H])[H]
362,3120,10022046,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])C(=O)[H])[H])[H])[H])[H])[H])[H])OC([H])([H])[H]
365,3143,20209882,ClC(C(C(=O)N([H])[H])([H])[H])([H])[H]
368,3158,20208485,BrC1=C(OC([H])([H])[H])C(=C(C(F)=C1[H])[H])[H]
369,3161,20208155,Cl[Si](Cl)(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C([H])([H])[H]
372,3191,40248433,C1(N(C(C2(C3(C4=C(C(C5=C3C(=C(C(=C5[H])[H])[H])[H])(C21[H])O[H])C(=C(C(=C4[H])[H])[H])[H])[H])[H])=O)C([H])([H])[H])=O
376,3221,10022213,C1(=C(C(=C(C(=C1Br)OC(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H])OC([H])([H])[H])[H])[H])C(C(=O)[H])([H])[H]
380,3269,20209561,BrC(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H]
385,3295,20099603,C1(SC(C(N1C(C([H])([H])[H])=O)([H])C(=O)C(=C(C(C2(C(C(C(C(=C(C(C(C(=C(C(O2)=O)[H])C([H])([H])[H])([H])[H])([H])[H])[H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])([H])[H])=O
390,3350,20200948,ClC(C(C(C(OC(C([H])([H])[H])([H])[H])=O)([H])[H])([H])[H])([H])[H]
392,3364,10021637,C(#CC(=O)N1C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H]
394,3367,20208478,ClC=1C(OC(C(OC(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])=O)([H])[H])=C(C(Cl)=C(Cl)C1[H])[H]
395,3369,20208802,ClC=1C([N+]([O-])=O)=C(C(Cl)=C(Cl)C1Cl)[H]
396,3390,20027185,C1(=C(C(=C(S1)OC([H])([H])[H])[H])[H])C#CC=2SC(=C(C2[H])[H])C#CC=3SC(=C(C3[H])[H])C(=O)[H]
397,3397,20208866,O1C2=C(OC1([H])[H])C(=C(C(C(C(=O)C([H])([H])[H])([H])[H])=C2[H])[H])[H]
398,3398,20208058,BrC=1C(OC(F)(F)F)=C(C(=C(C1[H])[H])[H])[H]
404,3466,20205819,O(C(C(OC([H])([H])[H])([H])[H])(C([H])([H])[H])[H])C(=O)C([H])([H])[H]
409,3510,20209199,O(C(C(C(=C(C(C([H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])C(=O)C(C(C(=O)C([H])([H])[H])([H])[H])([H])[H]
413,3535,20199016,O([N+]([O-])=O)C(C([H])([H])[H])([H])[H]
416,3565,20096452,C(=C(C(C(C(=C([H])[H])[H])([H])[H])([H])[H])[H])([H])[H]
417,3570,10008324,C(Cl)(C(C#N)([H])[H])([H])[H]
419,3590,20097915,C(OC(=O)C(C(Br)([H])[H])(Br)[H])([H])([H])[H]
420,3599,20201372,C(C(C(C(C#CC(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H]
427,3657,20208135,O(C1=NC(=C(C(=N1)[H])[H])C([H])([H])[H])[H]
428,3658,20025811,C1(N2C(=NC(=C1[N+](=O)[O-])C([H])([H])[H])N(C(=N2)[H])C([H])([H])[H])=O
432,3694,20207978,BrC1=C(C(=C(S(Cl)(=O)=O)C(=C1[H])[H])[H])C([H])([H])[H]
443,3754,20096429,C1(=C(C(=C(C(=C1[H])Cl)[H])Cl)[H])Cl
448,3778,10021669,C1(=C2C(=C(C(=C1[H])[H])[H])C(C(C(C2([H])[H])([H])[H])=C(O[H])[H])=O)[H]
449,3788,7990,C(C(C(C(OC([H])([H])[H])=O)([H])[H])=O)([H])([H])[H]
450,3805,20000223,C(OB(OC(C([H])([H])[H])([H])[H])OC(C([H])([H])[H])([H])[H])(C([H])([H])[H])([H])[H]
452,3825,10021651,C(=O)(C=1C=2C(C(C(C1Br)([H])[H])([H])[H])=C(C(=C(C2[H])[H])[H])[H])[H]
453,3826,10022505,C1(N(C(C2(N(C1([H])[H])OC(C2([H])[H])(C([H])([H])[H])C(=O)OC([H])([H])[H])[H])=O)C(C(=O)OC([H])([H])[H])([H])[H])([H])[H]
457,3850,20112329,O(C([H])([H])[H])C1=C([O-])C(=C(C([N+](=O)[O-])=C1[H])[H])[H]
460,3862,10016021,C1(=C(C(=C2C(=C1[H])C(=C(C(=C2[H])[H])[H])[H])[H])[H])OC([H])([H])[H]
461,3886,10022069,C1(=C(C(=C(C(=C1[H])[H])C2=C(C(=C(C(=C2[H])[H])OC(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])[H])[H])[H])C#N
462,3888,20208690,S=C=NC1=C(C(OC([H])([H])[H])=C(OC([H])([H])[H])C(=C1[H])[H])[H]
464,3938,20209571,ClC1=C(C(OC([H])([H])[H])=C([N+]([O-])=O)C(=C1[H])[H])[H]
465,3944,20097547,C1(=C(C(=O)OC1=O)Cl)[H]
473,4021,20209206,O(C(C(OC([H])([H])[H])=O)([H])[H])C([H])([H])[H]
474,4032,10022024,C1(=C(C(=C(C(=C1[H])[H])C=2C(=C(C(=C(N2)[H])C3=C(C(=C(C(=C3[H])[H])C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H])[H])C#N
478,4087,20096426,C1(=C(C(=C(C=2C(=C(C(=C(C12)[H])C([H])([H])[H])[H])C([H])([H])[H])[H])[H])[H])[H]
479,4090,20207429,[O-][N+](=O)C1=C(C(=C(C(=C1[H])[H])C([H])([H])[H])C#N)[H]
480,4091,10016920,C(N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])(C([H])([H])[H])([H])[H]
481,4092,10021641,C(C(=O)OC1(C2(C(C(OC(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])(O2)[H])([H])[H])(OC(SC(C([H])([H])[H])([H])[H])(C1(OC(C([H])([H])[H])=O)[H])[H])[H])[H])[H])([H])([H])[H]
484,4119,30096616,C1(=C(C(=C2C(=C1[H])C(=C(C(=C2O[H])[N+]([O-])=O)[H])[N+]([O-])=O)[H])[H])[H]
487,4146,10021993,C1(=C(C(=C(C(=C1[H])C(Br)([H])[H])C2=C(C(=C(C(=C2[H])[H])[H])[H])C(Br)([H])[H])[H])[H])[H]
488,4148,20208079,FC1=C(C(N([H])[H])=C(C(F)=C1F)[H])[H]
491,4164,20097659,C(C(C=1C(=NC(=C(C1C([H])([H])[H])[H])[H])[H])([H])[H])([H])([H])[H]
493,4174,20208711,O(C(C(=O)N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])(C([H])([H])[H])[H])C=1C=2C(C(=C(C1[H])[H])[H])=C(C(=C(C2[H])[H])[H])[H]
495,4190,20209218,ClC1=C(C(=C(Cl)C(=C1[H])[H])[H])C([H])([H])[H]
497,4212,20208872,S=C=NC=1C(=C(C(=C(C1[H])[H])[H])[H])C([H])([H])[H]
498,4213,20097541,C1(C(=C(C(O1)=O)O[H])[O-])(C(C(O[H])([H])[H])(O[H])[H])[H]
500,4239,20095860,C1(C(C(C(C2(C13C4(C(C(C2([H])[H])(O[H])[H])(C5(C(C(C4([H])[H])(O[H])[H])(C6(C(C5([H])[H])(OC(C(C(C6(C([H])([H])[H])[H])([H])[H])([H])[H])=O)[H])[H])C([H])([H])[H])C([H])([H])[H])[H])C3([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])=O)([H])[H])([H])[H]
502,4265,20096880,N(C(=O)C(=C([H])[H])[H])([H])[H]
