,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
17237,17237,40012,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
17238,17238,40013,[H]c1c([H])c([N+](=O)[O-])c([H])c2c1C(=O)N(C([H])([H])[H])C2=O,[H]c1c([H])c([N+](=O)[O-])c([H])c2c1C(=O)N(C([H])([H])[H])C2=O,[H]c1c([H])c([N+](=O)[O-])c([H])c2c1C(=O)N(C([H])([H])[H])C2=O
17239,17239,40015,[H]c1c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])[H])c([H])c(C([H])([H])[H])c1[H],[H]c1c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])[H])c([H])c(C([H])([H])[H])c1[H],[H]c1c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])[H])c([H])c(C([H])([H])[H])c1[H]
17240,17240,40017,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])=C([H])[H],[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])=C([H])[H],[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])=C([H])[H]
17242,17242,40024,[H]Oc1c([H])c([H])c(C([H])=O)c([H])c1Cl,[H]Oc1c([H])c([H])c(C([H])=O)c([H])c1Cl,[H]Oc1c([H])c([H])c(C([H])=O)c([H])c1Cl
17244,17244,40031,[H]c1c([H])c(C(=O)C([H])([H])[H])c([H])c(S(=O)(=O)F)c1[H],[H]c1c([H])c(C(=O)C([H])([H])[H])c([H])c(S(=O)(=O)F)c1[H],[H]c1c([H])c(C(=O)C([H])([H])[H])c([H])c(S(=O)(=O)F)c1[H]
17245,17245,40032,[H]C1([H])C2([H])C([H])([H])C3([H])C([H])([H])C1([H])C([H])([H])C(N=C=S)(C2([H])[H])C3([H])[H],[H]C1([H])C2([H])C([H])([H])C3([H])C([H])([H])C1([H])C([H])([H])C(N=C=S)(C2([H])[H])C3([H])[H],[H]C1([H])C2([H])C([H])([H])C3([H])C([H])([H])C1([H])C([H])([H])C(N=C=S)(C2([H])[H])C3([H])[H]
17246,17246,40033,[H]C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H],[H]C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H],[H]C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H]
17247,17247,40036,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C(=O)C([H])([H])[H])c(OC([H])([H])[H])c1[H],[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C(=O)C([H])([H])[H])c(OC([H])([H])[H])c1[H],[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C(=O)C([H])([H])[H])c(OC([H])([H])[H])c1[H]
17248,17248,40037,[H]OC(=O)c1c([H])c(F)c([H])c(F)c1F,[H]OC(=O)c1c([H])c(F)c([H])c(F)c1F,[H]OC(=O)c1c([H])c(F)c([H])c(F)c1F
17249,17249,40042,[H]N1C(=O)N(C([H])([H])[H])C([H])([H])C1=O,[H]N1C(=O)N(C([H])([H])[H])C([H])([H])C1=O,[H]N1C(=O)N(C([H])([H])[H])C([H])([H])C1=O
17251,17251,40045,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]
