,Unnamed: 0.1,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
14015,15580,15580,36310,[H]c1c([H])c([H])c(C(=S)C(C#N)=C2N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N2[H])c([H])c1[H],,[H]c1c([H])c([H])c(C(=S)C(C#N)=C2N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N2[H])c([H])c1[H]
14016,15581,15581,36311,[H]C([H])=C([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])C([H])([H])[H],,[H]C([H])=C([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])C([H])([H])[H]
14017,15582,15582,36312,[H]OC([H])([H])C12C([H])([H])C1(C(=O)OC([H])([H])[H])C2([H])[H],,[H]OC([H])([H])C12C([H])([H])C1(C(=O)OC([H])([H])[H])C2([H])[H]
14018,15583,15583,36313,[H]C([H])=C([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(=O)C([H])([H])[H],,[H]C([H])=C([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(=O)C([H])([H])[H]
14019,15584,15584,36314,[H]c1c([H])c([H])c(C2([H])OC(C([H])([H])[H])(C([H])([H])[H])OC2=O)c([H])c1[H],,[H]c1c([H])c([H])c(C2([H])OC(C([H])([H])[H])(C([H])([H])[H])OC2=O)c([H])c1[H]
14020,15585,15585,36316,[H]C1=C([H])C(OC([H])([H])[H])(C([H])([H])C([H])([H])[H])C(N([H])[H])=C([H])C1=O,,[H]C1=C([H])C(OC([H])([H])[H])(C([H])([H])C([H])([H])[H])C(N([H])[H])=C([H])C1=O
14021,15586,15586,36317,[H]Oc1c(-c2c([H])c([H])c([H])c([H])c2[H])oc2nc3c([H])c([H])c([H])c([H])c3nc12,,[H]Oc1c(-c2c([H])c([H])c([H])c([H])c2[H])oc2nc3c([H])c([H])c([H])c([H])c3nc12
14022,15587,15587,36318,[H]OC([H])(C#N)C([H])([H])P(=O)(O[H])O[H],,[H]OC([H])(C#N)C([H])([H])P(=O)(O[H])O[H]
14023,15588,15588,36321,[H]C1=C([H])C(=O)c2c(c([H])c([H])c(=O)n2[H])C1=O,,[H]C1=C([H])C(=O)c2c(c([H])c([H])c(=O)n2[H])C1=O
14024,15589,15589,36323,[H]c1c([H])c([H])c2c(c1[H])OC([H])([H])C([H])(F)C2=O,,[H]c1c([H])c([H])c2c(c1[H])OC([H])([H])C([H])(F)C2=O
14025,15590,15590,36324,[H]OC([H])([H])C1([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])(O[H])C1([H])O[H],,[H]OC([H])([H])C1([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])(O[H])C1([H])O[H]
14026,15591,15591,36325,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H],,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H]
14027,15592,15592,36326,[H]c1c([H])c(C(=S)N([H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c([H])c1F,,[H]c1c([H])c(C(=S)N([H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c([H])c1F
14028,15593,15593,36327,[H]OC(=O)C1([H])C([H])([H])C([H])([H])C(C(=O)O[H])(N([H])[H])C1([H])[H],,[H]OC(=O)C1([H])C([H])([H])C([H])([H])C(C(=O)O[H])(N([H])[H])C1([H])[H]
14029,15594,15594,36328,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H],,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H]
14030,15595,15595,36329,[H]C([H])([H])OC([H])(OC([H])([H])[H])C([H])([H])[N+]#[C-],,[H]C([H])([H])OC([H])(OC([H])([H])[H])C([H])([H])[N+]#[C-]
14031,15596,15596,36330,[H]C([H])=C1C(=C([H])[H])C2([H])OC1([H])C([H])([H])C2([H])[H],,[H]C([H])=C1C(=C([H])[H])C2([H])OC1([H])C([H])([H])C2([H])[H]
