,file,smiles
92,10025014,C1(=C(C(=C(C2=C1C(=C(O2)C=3C(=C(C(=C(C3C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])O[H])[H])O[H])[H])[H])[H])O[H])[H])[H]
93,20097183,C(C=1C2=C(C(=C(C(=C2C(=C(N1)[H])[H])[H])[H])[H])[H])([H])([H])[H]
96,74948,C=1(OC(=NC1C(=O)OC([H])([H])[H])C=2C(=C(C(=C(C2[H])[H])C([H])([H])[H])[H])[H])OC([H])([H])[H]
97,10016435,C(=C(C(=C([H])[H])[H])[H])([H])[H]
99,20182032,C1(C([H])([H])[H])=C(C(=NO1)C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H]
101,20045968,C(=C(C(C(Cl)(Cl)[H])([H])[H])[H])(C(=O)O[H])[H]
102,20096927,C(C(C(C(I)([H])[H])([H])[H])([H])[H])([H])([H])[H]
104,20230052,C1(ON=C(OC1(C(O[H])([H])[H])[H])C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H]
107,20033030,C=1(C(=C(C(=C(C1[H])[H])C(=O)N(N([H])[H])[H])[H])[H])Cl
109,10018177,C1(C(C1(C(Cl)([H])[H])[H])(C(Cl)([H])[H])[H])(Br)Br
110,10016643,C(=C(C(O[H])([H])[H])[H])(C([H])([H])[H])[H]
111,20109331,C1(C(C2(C(C1([H])[H])(C(C(O2)=O)(O[H])[H])[H])[H])(I)[H])([H])[H]
113,10018998,N1=C2C3(C4=C1C(=C(C(=C4[H])[H])[H])[H])C(C5(N6C2(C(C(C(C6(OC7(OC(C(C(C7(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H])=C(C([H])([H])[H])[H])(C5(C3(OC(=O)C([H])([H])[H])[H])[H])[H])([H])[H])[H])[H])([H])[H]
114,20050102,C=1(C(=C(N=C(N1)N2C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])C#N)SC([H])([H])[H]
117,20026364,C(OC(OC([H])([H])[H])(C(C(C(N([H])[H])(C(=O)OC([H])([H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H]
120,30100283,C1(=C(C(=C(C2=C1C(C(=C(O2)C([H])([H])[H])[H])=O)[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H]
