Original_SMILES,Canonical_SMILES,Source_Dataset,Source_ID
C(CN1C(=O)N(C(=O)N(C1=O)CCC(=O)O)CCC(=O)O)C(=O)O,O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,hsqc,32519.csv
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,hsqc,32461.csv
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,hsqc,32393.csv
C1[C@H](CN[C@@H]1C(=O)O)O,O=C(O)[C@@H]1C[C@@H](O)CN1,hsqc,08286.csv
C1C[C@@H](NC1)C(=O)O,O=C(O)[C@H]1CCCN1,hsqc,09389.csv
C1CC(=O)C=C1,O=C1C=CCC1,hsqc,09776.csv
C1CC=CC(=O)C1,O=C1C=CCCC1,hsqc,09817.csv
C1COC(=O)C=C1,O=C1C=CCCO1,hsqc,09838.csv
C1CCC(=O)C1,O=C1CCCC1,hsqc,35127.csv
C1CCCCCCCOC(=O)CCCCCC1,O=C1CCCCCCCCCCCCCCO1,hsqc,30788.csv
C1CCOC(=O)C1,O=C1CCCCO1,hsqc,09774.csv
C1CC(=O)NC1,O=C1CCCN1,hsqc,35220.csv
C1CC(=O)OC1,O=C1CCCO1,hsqc,09769.csv
C1CNC(=O)NC1=O,O=C1CCNC(=O)N1,hsqc,31790.csv
C1CNC(=O)NC1,O=C1NCCCN1,hsqc,31196.csv
C1COC(=O)N1,O=C1NCCO1,hsqc,31406.csv
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,hsqc,09566.csv
C(C=O)[C@@H]([C@@H](CO)O)O,O=CC[C@H](O)[C@H](O)CO,hsqc,09204.csv
C1CCN(CC1)C=O,O=CN1CCCCC1,hsqc,35528.csv
C1COCCN1C=O,O=CN1CCOCC1,hsqc,35488.csv
C1CCC(CC1)NC=O,O=CNC1CCCCC1,hsqc,34417.csv
C1CCC(CC1)[N+](=O)[O-],O=[N+]([O-])C1CCCCC1,hsqc,32940.csv
C1(C(C(C(C(C1O)O)O)O)O)O,OC1C(O)C(O)C(O)C(O)C1O,hsqc,09202.csv
C1C(CC(CC1O)O)O,OC1CC(O)CC(O)C1,hsqc,31831.csv
C1CC(CCC1O)O,OC1CCC(O)CC1,hsqc,32410.csv
C1CC(C(C(C1)O)O)O,OC1CCCC(O)C1O,hsqc,32264.csv
C1CCC(CC1)O,OC1CCCCC1,hsqc,35334.csv
C1CCCC(CC1)O,OC1CCCCCC1,hsqc,33973.csv
C1CCCC(CCC1)O,OC1CCCCCCC1,hsqc,33976.csv
C1CNCC1O,OC1CCNC1,hsqc,34406.csv
C1COCCC1O,OC1CCOCC1,hsqc,34939.csv
C(C(CO)O)O,OCC(O)CO,hsqc,09609.csv
C(C(CS)S)O,OCC(S)CS,hsqc,35255.csv
C1CCC(CC1)CO,OCC1CCCCC1,hsqc,33784.csv
C1CCCC(CC1)CO,OCC1CCCCCC1,hsqc,34673.csv
C1CCNC(C1)CO,OCC1CCCCN1,hsqc,34407.csv
C1CC(CNC1)CO,OCC1CCCNC1,hsqc,33365.csv
C1CCC(C1)CCO,OCCC1CCCC1,hsqc,33782.csv
C1CCC(CC1)CCO,OCCC1CCCCC1,hsqc,34969.csv
C1CCNC(C1)CCO,OCCC1CCCCN1,hsqc,35132.csv
C1CCC(C1)CCCO,OCCCC1CCCC1,hsqc,35097.csv
C(CCO)CO,OCCCCO,hsqc,32384.csv
C(CSCCO)O,OCCSCCO,hsqc,32379.csv
C([C@H]([C@H](CO)O)O)O,OC[C@@H](O)[C@@H](O)CO,hsqc,09247.csv
C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,hsqc,09244.csv
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,hsqc,09245.csv
C1[C@H]([C@H]([C@@H]([C@](O1)(CO)O)O)O)O,OC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,hsqc,09197.csv
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,hsqc,09194.csv
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,hsqc,09254.csv
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,hsqc,09262.csv
C1CCC(=NO)C1,ON=C1CCCC1,hsqc,32801.csv
C1COC[C@H]1O,O[C@H]1CCOC1,hsqc,30981.csv
C1CCC(CC1)NC(=S)NCCN2CCOCC2,S=C(NCCN1CCOCC1)NC1CCCCC1,hsqc,34755.csv
C([H])([H])([H])[H],C,nmrdb,20029286
C(#CC([H])([H])[H])[H],C#CC,nmrdb,20028915
C(#CC#CC([H])([H])[H])[H],C#CC#CC,nmrdb,10016494
C(#CC(O[H])([H])[H])C#C[H],C#CC#CCO,nmrdb,10016654
C(#CC(C(C([H])([H])[H])(C([H])([H])[H])[H])=O)[H],C#CC(=O)C(C)C,nmrdb,90738
C(#CC(=O)N1C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H],C#CC(=O)N1CCCC1,nmrdb,10021637
C(#CC(=O)OC([H])([H])[H])[H],C#CC(=O)OC,nmrdb,10015903
C(#CC(=O)OC(C([H])([H])[H])([H])[H])[H],C#CC(=O)OCC,nmrdb,40091256
C(#CC(=O)OC(C#CC([H])([H])[H])([H])[H])[H],C#CC(=O)OCC#CC,nmrdb,20146537
C(#CC(=O)OC(C(OC([H])([H])[H])([H])[H])([H])[H])[H],C#CC(=O)OCCOC,nmrdb,20212441
C(#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H],C#CC(C)(C)C,nmrdb,10026533
C(#CC(O[H])(C([H])([H])[H])C([H])([H])[H])[H],C#CC(C)(C)O,nmrdb,10016647
C([H])#CC(C(C([H])([H])[H])([H])[H])(C([H])([H])[H])O[H],C#CC(C)(O)CC,nmrdb,10021703
C(#CC(C([H])([H])[H])=O)[H],C#CC(C)=O,nmrdb,30000706
